food,energy_kcal,protein_g,saturated_fats_g,fat,carbohydrates,fiber,sugars,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mcg,manganese_mg,selenium_mcg,vitc_mg,thiamin_mg,riboflavin_mg,niacin_mg,vitb6_mg,folate_mcg,vitb12_mcg,vita_mcg,vite_mg,vitd2_mcg,category
Starbucks Grande Cappuccino,140,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Grande Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Iced Americano,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Nitro Cold Brew Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Pink Drink,140,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Pumpkin Cream Cold Brew,250,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Refreshers,70,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Wawa Coffee,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Private Selection Canned Espresso,230,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Doubleshot Energy,220,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Wide Awak Energy Coffee,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chick-fil-A Frosted Coffee,240,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chick-fil-A Iced Coffee,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Brewed Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Dunkaccino,350,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Extra Charged Coffee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dunkin' Donuts Latte,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Americano Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Big Train Java Chip Ice Coffee,410,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Biohazard Coffee,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Black Ink Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Black Insomnia Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Black Label Brewed Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Cafe Bustelo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Caffe Mocha,239,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Caffe Nero Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Cannonball Coffee Maximum Charge (UK),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Cappuccino,97,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Death Wish Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Devils Brew Extreme Caffeine Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Flat White,170,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
GymBrew Coffee,4,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
High Voltage Coffee (AU),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
International Delight Iced Coffee,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Seattle's Best Brewed Coffee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Iced Espresso Classics,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Stipe Miocic Extra Strength Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Sudden Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Taft Coffee (EU),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Very Strong Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chameleon Cold Brew With Milk,100,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Muscle Milk Coffee House,130,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
SlimFast Shake - Cappuccino,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Bottled Cold Brew,50,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Canned Nitro Cold Brew,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Cold & Crafted,50,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Stumptown Nitro Cold Brew,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Sunup Pure Green Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Wide Awake Coffee Cold Brew,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chameleon Cold Brew RTD,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chick-fil-A Brewed Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
CoolBrew Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Tim Hortons Small French Vanilla Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
La Colombe Cold Brew,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
La Colombe Draft Latte,90,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Alpine Start Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Bulletproof Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Califia Farms Cold Brew Coffee,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
CBD Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Chameleon Cold Brew Coffee,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Coffee,1 cal,0.3,0.011,0.069,1,0,,,0.051,,,,0.075,,,,,,0.034,0.2,0.5,0.022,,,,0.068,,Coffee
"Coffee (Decaf, Instant)",6,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Coffee (Instant),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Coffee Leaf Tea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Crio Bru Brewed Cacao,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Death Wish Canned Cold Brew,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Death Wish Latte,170,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Decaf Coffee,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Driftaway Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Eight O'Clock Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Folgers Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Gold Peak Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Gothrider Gasoline Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
High Brew Coffee,50,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Indulgio Cappuccino,79,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
K Cup Decaf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
K-Cup Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Maxwell House Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Maxwell House Max Boost Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nescafe Dolce Gusto,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nescafe Ice Java,50,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nescafe Ricoffy,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nestle Milo,80,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Noocaf Smart Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Ocean Spray Brew,30,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Purity Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Revv Coffee Pods,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Robusta Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks 2X Coffee Pods,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Cordusio Mocha,130,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Verismo Coffee Pods,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Starbucks Via Ready Brew,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Steep 18 Cold Brew,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Taster's Choice Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Voila Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Waka Decaf Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Waka Indian Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Waka Instant Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Whipped (Dalgona) Coffee,48,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Mushroom Coffee,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Cafe Con Leche,56,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Choffy (roasted cacao),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
COGO Caffeinated Hot Chocolate,110,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Dripdash Kyoto Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Long Black,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Nescafe 3 in 1 Instant Coffee,74,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Gloria Jean's Coffee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Biggby Espresso,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Greek Coffee (Metrios),25,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
Turkish Coffee,20,,,,,,,,,,,,,,,,,,,,,,,,,,,Coffee
28 Black Energy Drink,125,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
4 Purpose Energy Drink,70,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
BEEBAD Energy Drink,110,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Black Bruin Energy Drink,122,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Blu Frog Energy Drink,90,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Blue Bolt (UK),112,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Blue Charge (UK),49,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Blue Spark (UK),56,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bomb Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Boost Energy (UK),58,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Euro Shopper Energy Drink (EU),115,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Hell Energy Drink (EU),115,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Hype Energy Drink (EU),108,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
M-150 Energy Drink,155,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Pure Cofain 699 (EU),148,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Red Bull,117,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Red Bull Editions,113,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Red Bull Sugarfree,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Red Bull Zero,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Scheckters Energy Drink,78,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Slammers Energy Drink (EU),122,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Source 1899 (UK),58,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Taurus Energy Drink,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
TENZING Natural Energy,50,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Tiger Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Tweaker Energy Drink,110,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Virtue Clean Energy Beverage,8,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Wildcat Energy Drink (UK),115,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
X Ray Energy Drink,125,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
OK Energy Drink,113,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Power Horse Energy Drink (EU),125,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
V Energy Drink,116,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
XL Energy Drink (EU),118,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Crave Energy Drink (UK),10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bomba (EU),123,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Cintron Energy Drink,60,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Dutch Bros Blue Rebel Energy Drink,116,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
XS Energy Drink,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Wild Tiger Energy Drink,125,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Liquid Ice Energy Drink,120,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Rush! Energy Drink,120,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Hydro,150,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Import,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Moose Juice Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Club Mate (EU),160,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Demon Energy Drink,253,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
LevlUp Gaming Booster,8,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Ripper Energy Juice (UK),185,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster The Doctor VR46 (UK),219,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Mother Energy Drink,228,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Protein2O + Energy,70,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Strike Force Energy Drink Mix,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
4C Energy Drink Mix,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Arizona Arnold Palmer Half and Half,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Gatorade Bolt 24 Energize,40,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Live+ Energy Drink,227,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Pure Kick Energy Drink Mix,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Dragon Tea,40,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Rehab,25,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Neuro Sonic,35,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Lucozade,133,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Fakeer Energy Drink (EU),148,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Arizona Energy Drink Rx,130,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bai Boost,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
NOCCO Energy Drink (EU),0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Carabao Energy Drink (UK),63,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Irn Bru (UK),65,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Soylent Stacked,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Red Eye Energy Drink,149,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Mega Monster Energy Drink,320,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Amino Force Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bodyarmour Edge,180,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
SoBe Energy Citrus,250,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
ABB Turbo Tea Zero,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bai Antioxidant Infusion,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Viso Energy Drink,140,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
3D Energy Drink,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Adrenaline Shoc,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Alsa Energy Drink Mix,30,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bang Energy,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bang Keto Coffee,130,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bang Natural,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Bang Sweet Tea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Beaver Buzz Energy Drink,240,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Berzerk Energy Drink Mix,5,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
C4 Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
C4 Smart Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
C4 Ultimate Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Celsius Heat Energy Drink,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Crunk Energy Drink,200,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Crystal Light Energy Mix,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Electric Monkey Wild Energy Drink,220,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Full Throttle Energy Drink,220,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
GFuel Cans,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
GFuel Energy Drink Mix,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Go Fast Energy Drink,200,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Go Fast High Octane Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Great Value Energy Drink Mix,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Gridlock Energy Drink,200,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Hi Ball Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Joker Mad Energy,260,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Liquid Help Energy Drink,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Loud Energy Drink,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Assault,210,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Energy,210,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Juice,160,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Lo-Carb,30,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Mango Loco,240,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Mule,210,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Pipeline Punch,190,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Ultra,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Monster Zero Sugar,10,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Mountain Dew Amp,220,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Mountain Dew Game Fuel,90,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Mountain Dew Rise,25,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
NOS Energy Drink,200,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
Nuun Sport,15,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Drinks
